"","diseaseType","sampleType","datasetName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"151","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",332,11232,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.787498013677889,0.279012541020098
"152","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",131,11433,"Uveal Melanoma","OtherCancerType",0.881082172420755,0.305364119389364
"153","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,622,"Bladder Urothelial Carcinoma","OtherCancerType",0.843548387096774,0.422148940169053
"154","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",82,576,"Breast Invasive Carcinoma","OtherCancerType",1,1
"155","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Colon Adenocarcinoma","OtherCancerType",0.897102306327617,0.481632401286751
"156","Esophageal Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",30,628,"Esophageal Carcinoma","OtherCancerType",0.958037825059102,0.524325049216228
"157","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",31,627,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.949763593380615,0.522182669146338
"158","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"159","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",409,11155,"Colon Adenocarcinoma","OtherCancerType",0.782778311269634,0.323870174088536
"160","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",253,11311,"Esophageal Carcinoma","OtherCancerType",0.993028784752923,0.739959309205403
"161","Liver Hepatocellular Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,637,"Liver Hepatocellular Carcinoma","OtherCancerType",0.978184991273996,0.426255848491224
"162","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",66,592,"Lung Adenocarcinoma","OtherCancerType",0.933095450490633,0.739550011802057
"163","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",116,11448,"Kidney Chromophobe","OtherCancerType",0.791000034259481,0.178412333942262
"164","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",33,625,"Rectum Adenocarcinoma","OtherCancerType",0.827688651218063,0.370568061348779
"165","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",74,584,"Skin Cutaneous Melanoma","OtherCancerType",0.896883116883117,0.540035302435313
"166","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Stomach Adenocarcinoma","OtherCancerType",0.958604376108811,0.765623872866594
"167","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",89,569,"Thyroid Carcinoma","OtherCancerType",0.934615384615385,0.629088176701158
"168","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,637,"Uveal Melanoma","OtherCancerType",0.974694589877836,0.44493150491536
"169","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",54,11510,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.719682160440197,0.0203448306171606
"170","Stomach Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",93,124,"Stage4","Stage1",0.803803803803804,0.784354310335428
"171","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"172","Thyroid Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",76,363,"Stage4","Stage1",0.499158249158249,0.164900801915709
"173","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",178,11386,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.778960744771955,0.0415964705434586
"174","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
"175","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",152,11412,"Rectum Adenocarcinoma","OtherCancerType",0.776518323757588,0.157168477177077
"176","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",40,11524,"Sarcoma","OtherCancerType",0.997565326390898,0.717146431200059
"177","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Skin Cutaneous Melanoma","OtherCancerType",0.709280027187106,0.0224571538455673
"178","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",850,10714,"Stomach Adenocarcinoma","OtherCancerType",0.988103517698305,0.904405880907532
"179","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",134,11430,"Testicular Germ Cell Tumors","OtherCancerType",0.7582239720035,0.0241529616611957
"180","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Thymoma","OtherCancerType",0.683966080849273,0.0186536489966305
"181","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",655,10909,"Thyroid Carcinoma","OtherCancerType",0.871855664637493,0.370723862413101
"182","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",57,11507,"Uterine Carcinosarcoma","OtherCancerType",0.742655579033467,0.00960529487249052
"183","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",332,11232,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.787498013677889,0.279012541020098
"184","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",131,11433,"Uveal Melanoma","OtherCancerType",0.881082172420755,0.305364119389364
"185","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,622,"Bladder Urothelial Carcinoma","OtherCancerType",0.843548387096774,0.422148940169053
"186","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",82,576,"Breast Invasive Carcinoma","OtherCancerType",1,1
"187","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Colon Adenocarcinoma","OtherCancerType",0.897102306327617,0.481632401286751
"188","Esophageal Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",30,628,"Esophageal Carcinoma","OtherCancerType",0.958037825059102,0.524325049216228
"189","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",31,627,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.949763593380615,0.522182669146338
"190","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"191","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",409,11155,"Colon Adenocarcinoma","OtherCancerType",0.782778311269634,0.323870174088536
"192","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",253,11311,"Esophageal Carcinoma","OtherCancerType",0.993028784752923,0.739959309205403
"193","Liver Hepatocellular Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,637,"Liver Hepatocellular Carcinoma","OtherCancerType",0.978184991273996,0.426255848491224
"194","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",66,592,"Lung Adenocarcinoma","OtherCancerType",0.933095450490633,0.739550011802057
"195","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",116,11448,"Kidney Chromophobe","OtherCancerType",0.791000034259481,0.178412333942262
"196","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",33,625,"Rectum Adenocarcinoma","OtherCancerType",0.827688651218063,0.370568061348779
"197","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",74,584,"Skin Cutaneous Melanoma","OtherCancerType",0.896883116883117,0.540035302435313
"198","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Stomach Adenocarcinoma","OtherCancerType",0.958604376108811,0.765623872866594
"199","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",89,569,"Thyroid Carcinoma","OtherCancerType",0.934615384615385,0.629088176701158
"200","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,637,"Uveal Melanoma","OtherCancerType",0.974694589877836,0.44493150491536
"201","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",54,11510,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.719682160440197,0.0203448306171606
"202","Stomach Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",93,124,"Stage4","Stage1",0.803803803803804,0.784354310335428
"203","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"204","Thyroid Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",76,363,"Stage4","Stage1",0.499158249158249,0.164900801915709
"205","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",178,11386,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.778960744771955,0.0415964705434586
"206","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
"207","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",152,11412,"Rectum Adenocarcinoma","OtherCancerType",0.776518323757588,0.157168477177077
"208","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",40,11524,"Sarcoma","OtherCancerType",0.997565326390898,0.717146431200059
"209","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Skin Cutaneous Melanoma","OtherCancerType",0.709280027187106,0.0224571538455673
"210","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",850,10714,"Stomach Adenocarcinoma","OtherCancerType",0.988103517698305,0.904405880907532
"211","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",134,11430,"Testicular Germ Cell Tumors","OtherCancerType",0.7582239720035,0.0241529616611957
"212","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Thymoma","OtherCancerType",0.683966080849273,0.0186536489966305
"213","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",655,10909,"Thyroid Carcinoma","OtherCancerType",0.871855664637493,0.370723862413101
"214","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",57,11507,"Uterine Carcinosarcoma","OtherCancerType",0.742655579033467,0.00960529487249052
"215","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",332,11232,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.787498013677889,0.279012541020098
"216","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",131,11433,"Uveal Melanoma","OtherCancerType",0.881082172420755,0.305364119389364
"217","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,622,"Bladder Urothelial Carcinoma","OtherCancerType",0.843548387096774,0.422148940169053
"218","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",82,576,"Breast Invasive Carcinoma","OtherCancerType",1,1
"219","Breast Invasive Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",20,200,"Stage4","Stage1",0.291666666666667,0.0694980957667711
"220","Esophageal Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",30,628,"Esophageal Carcinoma","OtherCancerType",0.958037825059102,0.524325049216228
"221","Colon Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",53,69,"Stage4","Stage1",0.493333333333333,0.396858903732056
"222","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"223","Colon Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",409,11155,"Colon Adenocarcinoma","OtherCancerType",0.782778311269634,0.323870174088536
"224","Esophageal Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",253,11311,"Esophageal Carcinoma","OtherCancerType",0.993028784752923,0.739959309205403
"225","Kidney Renal Clear Cell Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",170,495,"Stage4","Stage1",0.664414414414414,0.399789668720553
"226","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",66,592,"Lung Adenocarcinoma","OtherCancerType",0.933095450490633,0.739550011802057
"227","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",116,11448,"Kidney Chromophobe","OtherCancerType",0.791000034259481,0.178412333942262
"228","Lung Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",39,343,"Stage4","Stage1",0.5650623885918,0.105392549476523
"229","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",74,584,"Skin Cutaneous Melanoma","OtherCancerType",0.896883116883117,0.540035302435313
"230","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Stomach Adenocarcinoma","OtherCancerType",0.958604376108811,0.765623872866594
"231","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",89,569,"Thyroid Carcinoma","OtherCancerType",0.934615384615385,0.629088176701158
"232","Rectum Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",25,25,"Stage1","Stage1",0.306122448979592,0.562570875673316
"233","Rectum Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",25,25,"Stage4","Stage4",0.306122448979592,0.562570875673316
"234","Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",54,11510,"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma","OtherCancerType",0.719682160440197,0.0203448306171606
"235","Stomach Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",93,124,"Stage4","Stage1",0.803803803803804,0.784354310335428
"236","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"237","Thyroid Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",76,363,"Stage4","Stage1",0.499158249158249,0.164900801915709
"238","Pheochromocytoma and Paraganglioma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",178,11386,"Pheochromocytoma and Paraganglioma","OtherCancerType",0.778960744771955,0.0415964705434586
"239","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
"240","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",152,11412,"Rectum Adenocarcinoma","OtherCancerType",0.776518323757588,0.157168477177077
"241","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",40,11524,"Sarcoma","OtherCancerType",0.997565326390898,0.717146431200059
"242","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Skin Cutaneous Melanoma","OtherCancerType",0.709280027187106,0.0224571538455673
"243","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",850,10714,"Stomach Adenocarcinoma","OtherCancerType",0.988103517698305,0.904405880907532
"244","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",134,11430,"Testicular Germ Cell Tumors","OtherCancerType",0.7582239720035,0.0241529616611957
"245","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Thymoma","OtherCancerType",0.683966080849273,0.0186536489966305
"246","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",655,10909,"Thyroid Carcinoma","OtherCancerType",0.871855664637493,0.370723862413101
"247","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",57,11507,"Uterine Carcinosarcoma","OtherCancerType",0.742655579033467,0.00960529487249052
"248","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",332,11232,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.787498013677889,0.279012541020098
"249","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",131,11433,"Uveal Melanoma","OtherCancerType",0.881082172420755,0.305364119389364
"250","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,622,"Bladder Urothelial Carcinoma","OtherCancerType",0.843548387096774,0.422148940169053
"251","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",82,576,"Breast Invasive Carcinoma","OtherCancerType",1,1
"252","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",25,447,"Breast Invasive Carcinoma","OtherCancerType",0.929637526652452,0.640361306058539
"253","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",28,444,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.968045112781955,0.475831027109295
"254","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",34,438,"Colon Adenocarcinoma","OtherCancerType",0.744274809160305,0.33672129480672
"255","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"256","Glioblastoma Multiforme","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",32,440,"Glioblastoma Multiforme","OtherCancerType",0.858585858585859,0.707657787509583
"257","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",23,449,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.922885572139303,0.284481523579491
"258","Kidney Renal Clear Cell Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",170,495,"Stage4","Stage1",0.664414414414414,0.399789668720553
"259","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",66,592,"Lung Adenocarcinoma","OtherCancerType",0.933095450490633,0.739550011802057
"260","Kidney Renal Papillary Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",25,447,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.852878464818763,0.371707955881799
"261","Lung Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",39,343,"Stage4","Stage1",0.5650623885918,0.105392549476523
"262","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",74,584,"Skin Cutaneous Melanoma","OtherCancerType",0.896883116883117,0.540035302435313
"263","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Stomach Adenocarcinoma","OtherCancerType",0.958604376108811,0.765623872866594
"264","Ovarian Serous Cystadenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,451,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.792592592592593,0.377297512071878
"265","Prostate Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",99,373,"Prostate Adenocarcinoma","OtherCancerType",0.977943460702081,0.921125096658913
"266","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",20,452,"Rectum Adenocarcinoma","OtherCancerType",0.596296296296296,0.0680273784062557
"267","Sarcoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",23,449,"Sarcoma","OtherCancerType",1,1
"268","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"269","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",24,448,"Stomach Adenocarcinoma","OtherCancerType",0.781449893390192,0.318483235379669
"270","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",51,421,"Thyroid Carcinoma","OtherCancerType",0.944973544973545,0.69509425742862
"271","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
"272","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",152,11412,"Rectum Adenocarcinoma","OtherCancerType",0.776518323757588,0.157168477177077
"273","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",40,11524,"Sarcoma","OtherCancerType",0.997565326390898,0.717146431200059
"274","Skin Cutaneous Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Skin Cutaneous Melanoma","OtherCancerType",0.709280027187106,0.0224571538455673
"275","Stomach Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",850,10714,"Stomach Adenocarcinoma","OtherCancerType",0.988103517698305,0.904405880907532
"276","Testicular Germ Cell Tumors","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",134,11430,"Testicular Germ Cell Tumors","OtherCancerType",0.7582239720035,0.0241529616611957
"277","Thymoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",120,11444,"Thymoma","OtherCancerType",0.683966080849273,0.0186536489966305
"278","Thyroid Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",655,10909,"Thyroid Carcinoma","OtherCancerType",0.871855664637493,0.370723862413101
"279","Uterine Carcinosarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",57,11507,"Uterine Carcinosarcoma","OtherCancerType",0.742655579033467,0.00960529487249052
"280","Uterine Corpus Endometrial Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",332,11232,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.787498013677889,0.279012541020098
"281","Uveal Melanoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",131,11433,"Uveal Melanoma","OtherCancerType",0.881082172420755,0.305364119389364
"282","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,622,"Bladder Urothelial Carcinoma","OtherCancerType",0.843548387096774,0.422148940169053
"283","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",82,576,"Breast Invasive Carcinoma","OtherCancerType",1,1
"284","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",25,447,"Breast Invasive Carcinoma","OtherCancerType",0.929637526652452,0.640361306058539
"285","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",28,444,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.968045112781955,0.475831027109295
"286","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",34,438,"Colon Adenocarcinoma","OtherCancerType",0.744274809160305,0.33672129480672
"287","Cholangiocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",36,11528,"Cholangiocarcinoma","OtherCancerType",0.648756506651244,0.0112141775431553
"288","Glioblastoma Multiforme","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",32,440,"Glioblastoma Multiforme","OtherCancerType",0.858585858585859,0.707657787509583
"289","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",23,449,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.922885572139303,0.284481523579491
"290","Kidney Renal Clear Cell Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",170,495,"Stage4","Stage1",0.664414414414414,0.399789668720553
"291","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",66,592,"Lung Adenocarcinoma","OtherCancerType",0.933095450490633,0.739550011802057
"292","Kidney Renal Papillary Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",25,447,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.852878464818763,0.371707955881799
"293","Lung Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",39,343,"Stage4","Stage1",0.5650623885918,0.105392549476523
"294","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",74,584,"Skin Cutaneous Melanoma","OtherCancerType",0.896883116883117,0.540035302435313
"295","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",64,594,"Stomach Adenocarcinoma","OtherCancerType",0.958604376108811,0.765623872866594
"296","Ovarian Serous Cystadenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",21,451,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.792592592592593,0.377297512071878
"297","Prostate Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",99,373,"Prostate Adenocarcinoma","OtherCancerType",0.977943460702081,0.921125096658913
"298","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",20,452,"Rectum Adenocarcinoma","OtherCancerType",0.596296296296296,0.0680273784062557
"299","Sarcoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",23,449,"Sarcoma","OtherCancerType",1,1
"300","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",896,10668,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996260494402985,0.952708466650534
"301","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",24,448,"Stomach Adenocarcinoma","OtherCancerType",0.781449893390192,0.318483235379669
"302","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",51,421,"Thyroid Carcinoma","OtherCancerType",0.944973544973545,0.69509425742862
"303","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS",632,10932,"Prostate Adenocarcinoma","OtherCancerType",0.784012741011826,0.287392808770942
